feature,coefficient,absolute_coefficient
iso_alpha_GTM,-0.08794065155656827,0.08794065155656827
country_Ecuador,0.08229400490786769,0.08229400490786769
iso_num_218,0.08229400490786765,0.08229400490786765
iso_alpha_ECU,0.08229400490786745,0.08229400490786745
country_Myanmar,-0.07873865111955973,0.07873865111955973
iso_num_104,-0.07873865111955969,0.07873865111955969
iso_alpha_MMR,-0.07873865111955965,0.07873865111955965
iso_num_275,0.07537528165075162,0.07537528165075162
iso_alpha_PSE,0.07537528165075162,0.07537528165075162
country_West Bank and Gaza,0.0753752816507516,0.0753752816507516
iso_num_214,0.07007862021114775,0.07007862021114775
iso_alpha_DOM,0.07007862021114765,0.07007862021114765
country_Dominican Republic,0.07007862021114601,0.07007862021114601
iso_num_400,0.06908224964704746,0.06908224964704746
iso_alpha_JOR,0.06908224964704746,0.06908224964704746
country_Jordan,0.06908224964704685,0.06908224964704685
country_Namibia,-0.061781091145632266,0.061781091145632266
iso_num_516,-0.06178109114563138,0.06178109114563138
iso_alpha_NAM,-0.06178109114563138,0.06178109114563138
country_Vietnam,-0.057975476730162456,0.057975476730162456
iso_alpha_VNM,-0.05797547673016232,0.05797547673016232
iso_num_704,-0.05797547673016228,0.05797547673016228
country_Philippines,0.05754219712255499,0.05754219712255499
iso_num_608,0.05754219712255484,0.05754219712255484
iso_alpha_PHL,0.057542197122554796,0.057542197122554796
country_Mongolia,-0.057366299388083214,0.057366299388083214
iso_num_496,-0.057366299388083034,0.057366299388083034
iso_alpha_MNG,-0.05736629938808292,0.05736629938808292
iso_alpha_HND,-0.05421600695766496,0.05421600695766496
iso_num_340,-0.05421600695766492,0.05421600695766492
country_Honduras,-0.05421600695766461,0.05421600695766461
country_Syria,0.0533480739282035,0.0533480739282035
iso_num_760,0.05334807392820295,0.05334807392820295
iso_alpha_SYR,0.05334807392820295,0.05334807392820295
country_Nicaragua,-0.04962034353101869,0.04962034353101869
iso_alpha_NIC,-0.04962034353101846,0.04962034353101846
iso_num_558,-0.04962034353101838,0.04962034353101838
country_Peru,-0.04153420607346181,0.04153420607346181
iso_alpha_PER,-0.04153420607346138,0.04153420607346138
iso_num_604,-0.04153420607346138,0.04153420607346138
iso_num_434,0.04016219553048554,0.04016219553048554
iso_alpha_LBY,0.04016219553048549,0.04016219553048549
country_Libya,0.040162195530485306,0.040162195530485306
iso_alpha_IRN,0.030059965420492857,0.030059965420492857
iso_num_364,0.0300599654204928,0.0300599654204928
country_Iran,0.030059965420492787,0.030059965420492787
iso_num_512,0.029196975015023913,0.029196975015023913
iso_alpha_OMN,0.02919697501502383,0.02919697501502383
country_Oman,0.029196975015023705,0.029196975015023705
country_Algeria,0.02685054801333908,0.02685054801333908
iso_num_12,0.026850548013338943,0.026850548013338943
iso_alpha_DZA,0.026850548013338832,0.026850548013338832
iso_num_76,0.018525097097528892,0.018525097097528892
iso_alpha_BRA,0.018525097097528725,0.018525097097528725
country_Brazil,0.018525097097528365,0.018525097097528365
country_El Salvador,-0.014335833687657819,0.014335833687657819
iso_num_222,-0.014335833687657742,0.014335833687657742
iso_alpha_SLV,-0.014335833687657715,0.014335833687657715
iso_num_818,-0.014243475615422746,0.014243475615422746
iso_alpha_EGY,-0.01424347561542269,0.01424347561542269
country_Egypt,-0.014243475615422024,0.014243475615422024
iso_num_504,-0.013586530728993518,0.013586530728993518
iso_alpha_MAR,-0.013586530728993296,0.013586530728993296
country_Morocco,-0.013586530728992907,0.013586530728992907
iso_num_678,0.010636803197075717,0.010636803197075717
country_Sao Tome and Principe,0.010636803197075523,0.010636803197075523
iso_alpha_STP,0.010636803197075384,0.010636803197075384
iso_num_682,0.009871945959355005,0.009871945959355005
iso_alpha_SAU,0.00987194595935495,0.00987194595935495
country_Saudi Arabia,0.009871945959354589,0.009871945959354589
